experiment,version,change,run_tag,wandb_run_id,state,feature_set,encoder,input_type,in_channels,epochs,learning_rate,batch_size,img_size,tta,jpeg_aug,edge_supervision,noise_features,pixel_f1,pixel_iou,pixel_auc,pixel_precision,pixel_recall,image_accuracy,image_macro_f1,image_roc_auc,best_val_f1,final_train_loss,final_val_loss,duration_min
vrp19,vR.P.19,"Multi-Quality RGB ELA (9ch, Q=75/85/95 full-color)",run01,jzwc69v8,finished,multi_quality_ela,resnet34,Multi-Q RGB ELA,9,25,0.001,16,384,False,False,False,False,0.7964726686477661,0.6617819666862488,0.9726181034977148,0.860572338104248,0.7412599921226501,0.9038563127311148,0.8969819945890475,0.9765073650208942,0.7923915386199951,0.20166933424635616,0.3087769954095356,0.0
vrp26,vR.P.26,Dual-Task: Segmentation + Classification with shared encoder,run01,iixyc6x3,finished,ela,resnet34,ELA (same as P.3),3,25,0.001,16,384,False,False,False,False,0.7111709117889404,0.5517961382865906,0.9572753964773684,0.8051162958145142,0.6368587017059326,0.8837823560486001,0.8748015873015873,0.959462304883636,0.6956513524055481,0.2759723462732323,0.4871931662372149,1.9666666666666666
vR.P.40.3 — InceptionV1 custom encoder + Multi-Q RGB ELA (9ch),vR.P.40.3,InceptionV1 custom encoder + Multi-Q RGB ELA (9ch),,dycmi22g,finished,multi-q-rgb-ela-9ch,inception-v1-custom,multi-q-rgb-ela-9ch,9,30,,8,,False,False,False,False,0.4764918088912964,0.3127596378326416,0.918724780570576,0.5869397521018982,0.401028037071228,0.8827258320126783,0.8761879003860676,0.9340543711156052,0.0,NaN,NaN,0.0
vR.P.40.4 — InceptionV2 custom encoder + Multi-Q RGB ELA (9ch),vR.P.40.4,InceptionV2 custom encoder + Multi-Q RGB ELA (9ch),,a5edeawl,finished,multi-q-rgb-ela-9ch,inception-v2-custom,multi-q-rgb-ela-9ch,9,30,,8,,False,False,False,False,0.6170973777770996,0.44623345136642456,0.9435467061990016,0.6289759278297424,0.6056591868400574,0.9080824088748018,0.904159149896996,0.96830819708546,0.5781671404838562,0.376585107794452,0.5481865841107482,0.0
vR.P.41 — Unified Inception V1+V2+V3 custom encoder + Multi-Q RGB ELA (9ch),vR.P.41,Unified Inception V1+V2+V3 custom encoder + Multi-Q RGB ELA (9ch),,p30sp0dd,crashed,multi-q-rgb-ela-9ch,unified-inception-v123,multi-q-rgb-ela-9ch,9,50,,16,,False,False,False,False,,,,,,,,,0.7425658106803894,0.15493779381700773,0.3760507672538376,0.0
vrp302,vR.P.30.2,"Multi-quality ELA + CBAM + Progressive Unfreeze (40ep, BCE+Dice)",run01,306h82jo,finished,multi_quality_ela,resnet34,multi_quality_ela,3,40,0.001,16,384,False,False,False,False,0.7719460725784302,0.6285930275917053,0.9754697867841584,0.8605486154556274,0.6998855471611023,0.9107237189646064,0.9060550043827902,0.9777961858308382,,,,0.016666666666666666
"vR.P.40.1 — EfficientNet-B4 baseline (ELA Q=90, 3ch)",vR.P.40.1,"EfficientNet-B4 baseline (ELA Q=90, 3ch)",,zbez8rbz,finished,ela,efficientnet-b4,ela,3,30,,8,,False,False,False,False,0.7549550533294678,0.6063676476478577,0.9677835996676522,0.8284288644790649,0.6934523582458496,0.8938193343898574,0.8869697319870848,0.9509484517953252,0.7424842119216919,0.2573963869890791,0.4001519581779346,0.0
vR.P.40.3 — InceptionV1 custom encoder + Multi-Q RGB ELA (9ch),vR.P.40.3,InceptionV1 custom encoder + Multi-Q RGB ELA (9ch),,k47cs4wg,finished,multi-q-rgb-ela-9ch,inception-v1-custom,multi-q-rgb-ela-9ch,9,30,,8,,False,False,False,False,0.4764918088912964,0.3127596378326416,0.918724780570576,0.5869397521018982,0.401028037071228,0.8827258320126783,0.8761879003860676,0.9340543711156052,0.0,NaN,NaN,293.6
vR.P.40.4 — InceptionV2 custom encoder + Multi-Q RGB ELA (9ch),vR.P.40.4,InceptionV2 custom encoder + Multi-Q RGB ELA (9ch),,ptqiruhn,finished,multi-q-rgb-ela-9ch,inception-v2-custom,multi-q-rgb-ela-9ch,9,30,,8,,False,False,False,False,0.6170973777770996,0.44623345136642456,0.9435467061990016,0.6289759278297424,0.6056591868400574,0.9080824088748018,0.904159149896996,0.96830819708546,0.5781671404838562,0.376585107794452,0.5481865841107482,412.9166666666667
vR.P.40.5 — InceptionV3 custom encoder + Multi-Q RGB ELA (9ch),vR.P.40.5,InceptionV3 custom encoder + Multi-Q RGB ELA (9ch),,i2h94p35,finished,multi-q-rgb-ela-9ch,inception-v3-custom,multi-q-rgb-ela-9ch,9,30,,8,,False,False,False,False,0.6119489073753357,0.44086912274360657,0.946153850235907,0.6894298195838928,0.5501237511634827,0.9027997886951928,0.8971681624940955,0.955981100379936,0.6242128610610962,0.38699488371360713,0.5037968850055172,425.23333333333335
